,title,company,location,salary,post_date,career_level,qualification,experience,job_type,industry
3679,Service Engineer (Voice),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
3680,Service Engineer (Voice),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
3681,"Senior Lead Engineer / Lead Engineer, Software Development (Big Data)",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 28 Mar 2021,Not Specified,Postgraduate,Not Specified,"Contract, Full Time",Information Technology
3682,ERP APPLCIATION / FUNCTIONAL / BUSINESS CONSULTANT – MICROSOFT D365 F&O / AX,HKBN JOS Limited,,Posted on 29 Mar 2021,Posted on 29 Mar 2021,Middle,Not Specified,2 years,"Full Time, Permanent",Information Technology
3683,Analyst Programmer / Senior Analyst Programmer,Hong Leong Insurance (Asia) Limited,North Point,Salary provided,Posted on 29 Mar 2021,Not Specified,Degree,2 years,"Full Time, Permanent",Insurance / Pension Funding
3684,Incident & Service Manager - Global FinTech Enterprise,Pinpoint Asia Limited,,"HK$70,000 - HK$90,000 /month (negotiable)",Posted on 29 Mar 2021,Senior,Degree,8 years,"Full Time, Permanent","Information Technology (IT) > Support, Information Technology (IT) > IT Management, Information Technology (IT) > Network & System"
3685,Blockchain (Cryptocurrency) Engineer,THK Service HK Limited,Tsim Sha Tsui,Salary negotiable,Posted on 29 Mar 2021,Middle,Degree,3 years,Full Time,Financial Services
3686,Web (Php and Javascript) and Mobile (React Native) Programmer/Developer,Ponder Deep Limited,Kwun Tong,Salary negotiable,Posted on 29 Mar 2021,Not Specified,Not Specified,Not Specified,"Contract, Full Time",Information Technology
3687,Blockchain Engineer,MatrixSense Technology Group Limited,Tsim Sha Tsui,Salary provided,Posted on 29 Mar 2021,Not Specified,Degree,3 years,Full Time,"Information Technology (IT) > Support, Information Technology (IT) > Software Development"
3688,System Engineer (MSSQL),Cityray Technology (China) Ltd,Wong Tai Sin Area,Salary provided,Posted on 29 Mar 2021,Middle,Non-Degree Tertiary,2 years,Full Time,Information Technology
3689,"Principal Engineer/ Senior Engineer/ Engineer, Software Development",United Microelectronics Centre (Hong Kong) Limited,Shatin Area,Salary negotiable,Posted on 29 Mar 2021,Middle,Degree,6 years,"Contract, Full Time",Information Technology
3690,IT SUPPORT,Company Confidential,Kwun Tong,Salary negotiable,Posted on 29 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Wholesale / Retail
3691,Technical Representative,Makita Power Tools (HK) Limited,Shatin Area,Salary provided,Posted on 29 Mar 2021,Entry Level,Not Specified,Not Specified,Full Time,Electronics / Electrical Equipment
3692,Research Analyst ,Grand Alliance Asset Management Ltd,Central,Salary negotiable,Posted on 29 Mar 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Financial Services
3693,Assistant Information Technology Officer,The Jockey Club Kau Sai Chau Public Golf Course Limited,Sai Kung,Salary negotiable,Posted on 29 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Entertainment / Recreation
3694,Senior Developer/ Developer – Retail Management Systems (Ref: JDB/ERM/PR),Computer And Technologies Software Limited,Pok Fu Lam,Salary provided,Posted on 29 Mar 2021,Entry Level,Not Specified,N/A,"Full Time, Permanent",Information Technology
3695,Project Manager / Assistant Project Manager (Ref: JDB/HRMI/PM),Computer And Technologies Resources Limited,Pok Fu Lam,Salary negotiable,Posted on 29 Mar 2021,Middle,Degree,8 years,"Full Time, Permanent",Information Technology
3696,Application Analyst ,Prowess Recruitment Consulting Limited,,"HK$30,000 - HK$35,000 /month (negotiable)",Posted on 29 Mar 2021,Middle,Degree,10 years,"Full Time, Permanent",Human Resources Management / Consultancy
3697,Data Centre Engineer - E&M ,Prowess Recruitment Consulting Limited,Shatin Area,Salary negotiable,Posted on 29 Mar 2021,Entry Level,Matriculated,5 years,"Full Time, Permanent",Human Resources Management / Consultancy
3698,Security Engineer ,Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 29 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
3699,Analyst Programmer I/II (Developer),Neural Technologies (Hong Kong) Limited,Kowloon Bay,Salary provided,Posted on 29 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,Information Technology
3700,Japanese Speaking IT programmer ~35K,Kingsway Personnel Ltd,,Salary provided,Posted on 29 Mar 2021,Middle,Not Specified,2 years,"Full Time, Permanent",Trading and Distribution
3701,Sales Director (I.T. Consultancy - Enterprise Software Testing Service)($1.7Mil),Ebro Executive Search Limited,,"Above HK$120,000 /month ",Posted on 29 Mar 2021,Senior,Degree,15 years,"Full Time, Permanent",Information Technology
3702,Head of Core Banking System,Conners Consulting Limited,,Salary provided,Posted on 29 Mar 2021,Senior,Degree,15 years,"Full Time, Permanent",Banking
3703,"Assistant Manager, Systems Development",Conners Consulting Limited,,Salary provided,Posted on 29 Mar 2021,Middle,Degree,5 years,"Full Time, Permanent",Banking
3704,Business Analyst,Conners Consulting Limited,,Salary provided,Posted on 29 Mar 2021,Entry Level,Degree,3 years,"Contract, Full Time",Banking
3705,Quality Assurance Engineer,Tranthink Technology Service Limited,,Salary negotiable,Posted on 29 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Information Technology
3706,Analyst Programmer / System Analyst (Java & Server-oriented) ,Tranthink Technology Service Limited,,Salary negotiable,Posted on 29 Mar 2021,Middle,Not Specified,3 years,"Full Time, Permanent",Information Technology
3707,Junior Backend Programmer (Java & Server-oriented) 16K-22K ,Tranthink Technology Service Limited,,Salary provided,Posted on 29 Mar 2021,Entry Level,Not Specified,Not Specified,"Full Time, Permanent",Information Technology
3708,UI/UX Designer,Tranthink Technology Service Limited,,Salary negotiable,Posted on 29 Mar 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Information Technology
3709,Programmer,Cheung Mao Kee Electrical Company Limited,Sheung Shui,Salary provided,Posted on 29 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,Full Time,"Information Technology (IT) > IT - Webmaster / SEO, Information Technology (IT) > Software Development, Information Technology (IT) > Network & System"
3710,"Engineer / Engineering Associate, Mechanical Engineering",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 29 Mar 2021,Not Specified,Degree,Not Specified,"Contract, Full Time",Information Technology
3711,Senior Systems Development Manager,Lockton Companies (Hong Kong) Ltd,Eastern Area,Salary negotiable,Posted on 29 Mar 2021,Senior,Degree,10 years,"Full Time, Permanent",Insurance / Pension Funding
3712,Network Operations Center Manager (NOC of telecommunication company),M800 Limited,Kwun Tong,Salary negotiable,Posted on 29 Mar 2021,Middle,Degree,10 years,"Full Time, Permanent",Telecommunication
3713,IT Technician / IT Officer,St. Paul's Co-Educational College,Central & Western Area,Salary negotiable,Posted on 25 Mar 2021,Entry Level,Non-Degree Tertiary,Not Specified,"Full Time, Permanent",Information Technology (IT) > Support
3714, Network Engineer ($22-$28K),CL Technical Services Ltd.,Tsim Sha Tsui,Salary provided,Posted on 29 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,"Information Technology (IT) > Application Specialist - Network, Information Technology (IT) > Network & System"
3715,Assistant Business Analyst,Integrated Market Services Asia Limited,Kowloon Bay,Salary provided,Posted on 28 Mar 2021,Entry Level,Degree,2 years,Full Time,Trading and Distribution
3716,IT Support,Landscope Real Estate Services Limited,Admiralty,Salary negotiable,Posted on 26 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Property Development
3717,Programmer / System Analyst / QA Specialist / Mobile Developer / Business Analyst (Fresh welcome),Seamatch Asia Limited,,Salary provided,Posted on 29 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Human Resources Management / Consultancy
3718,"Engineer (PI) / Engineering Associate (PI), Networking Software (4G/5G Networks)",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 28 Mar 2021,Not Specified,Degree,Not Specified,"Contract, Full Time",Information Technology
3719,Solution Consultant / Engineer - Cybersecurity (Presales),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Information Technology
3720,Head of Core Banking System,Conners Consulting Limited,,Salary provided,Posted on 29 Mar 2021,Senior,Degree,15 years,"Full Time, Permanent",Banking
3721,"Web Programmer (PHP, Linux shell scripting, over $40K)",CL Technical Services Ltd.,Tsim Sha Tsui,Salary provided,Posted on 29 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
3722,IT Support Officer (18 - 27K),STA Pacific Limited,Yau Ma Tei,Salary negotiable,Posted on 27 Mar 2021,Entry Level,Non-Degree Tertiary,3 years,"Full Time, Permanent",Human Resources Management / Consultancy
3723,Senior Analyst Programmer / System Analyst ,RecruitFirst Limited,Central,Salary negotiable,Posted on 28 Mar 2021,Middle,Not Specified,4 years,Permanent,Information Technology
3724,IT Support Officer,Lead8 Hong Kong Limited,Quarry Bay,Salary negotiable,Posted on 26 Mar 2021,Middle,Degree,2 years,"Full Time, Permanent",Architecture / Building / Construction
3725,Data Analyst Engineer,China Unicom (Hong Kong) Operations Limited,Tseung Kwan O,Salary provided,Posted on 28 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Telecommunication
3726,IT Support,Karin Technology Holdings Limited,Kwun Tong,Salary negotiable,Posted on 26 Mar 2021,Middle,Degree,2 years,"Contract, Full Time",Trading and Distribution
3727,Sales Director (I.T. Consultancy - Enterprise Software Testing Service)($1.7Mil),Ebro Executive Search Limited,,"Above HK$120,000 /month ",Posted on 29 Mar 2021,Senior,Degree,15 years,"Full Time, Permanent",Information Technology
3728,"System Analyst (Government, Core Java+DB)",Kelly Services Hong Kong Limited,Others,Salary provided,Posted on 29 Mar 2021,Middle,Non-Degree Tertiary,8 years,"Contract, Full Time","Information Technology (IT) > Support, Information Technology (IT) > Application Specialist - Network, Information Technology (IT) > Network & System"
3729,IT Helpdesk Officier,Spinnaker IT Limited,Kowloon Bay,Salary negotiable,Posted on 26 Mar 2021,Entry Level,Non-Degree Tertiary,2 years,"Contract, Full Time",Others
3730,(Senior) Solutions Architect Manager - Enterprise Level Project,Page Group Hong Kong,,Salary provided,Posted on 29 Mar 2021,Senior,Degree,10 years,"Full Time, Permanent","Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > IT Management, Information Technology (IT) > Software Development"
3731,IT Technician,Hong Kong Catcare Limited,Causeway Bay,Salary provided,Posted on 26 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Trading and Distribution
3732,Production Management Manager (Information Technology),"Bank of Communications Co., Ltd. Hong Kong Branch",,Posted on 26 Mar 2021,Posted on 26 Mar 2021,Senior,Degree,5 years,"Full Time, Permanent","Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > Network & System, Information Technology (IT) > Others"
3733,Functional Analyst,Magic Search Limited,,Salary provided,Posted on 29 Mar 2021,Middle,Degree,5 years,"Full Time, Permanent",Human Resources Management / Consultancy
3734,Sales Operations Specialist,Thales Transport & Security (Hong Kong) Limited,Mong Kok,Salary provided,Posted on 29 Mar 2021,Middle,Degree,3 years,"Full Time, Permanent",Information Technology
3735,Data Engineer,Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Information Technology
3736,Senior Manager - Data and Quality Management (Banking Industry),NewPages Recruitment Company Limited,Yau Tsim Mong Area,Salary provided,Posted on 29 Mar 2021,Senior,Degree,10 years,"Full Time, Permanent","Information Technology (IT) > IT Management, Information Technology (IT) > Technical / Functional Consulting, Information Technology (IT) > Data Scientist"
3737,IT Manager / Senior System Architect (Infrastructure),SINO Dynamic Solutions Limited,North Point,Salary provided,Posted on 25 Mar 2021,Senior,Degree,6 years,Full Time,Information Technology
3738,Business Analyst (Finacial Services - ITSM) - Contract,Morgan McKinley,,Salary negotiable,Posted on 29 Mar 2021,Middle,Degree,8 years,"Contract, Full Time","Banking / Finance > Financial Services, Professional Services > Business Analysis / Data Analysis, Information Technology (IT) > Product Management / Business Analyst"
3739,"Backend Web Developer ( PHP, Laravel ) ",Osmium Consulting Group Limited,Mong Kok,Salary provided,Posted on 29 Mar 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Media / Publishing / Printing
3740,IT Support ,Anglo East Surety Limited,Hung Hom,Salary provided,Posted on 26 Mar 2021,Entry Level,Matriculated,1 year,"Full Time, Permanent",Security / Fire / Electronic Access Controls
3741,IT Officer/ Assistant (Ref.: A02/2021/08),Centre For Garment Production Limited,Shatin Area,Salary provided,Posted on 26 Mar 2021,Entry Level,Degree,3 years,"Contract, Full Time",Research / Survey
3742,Solutions Architect - Secondment contract - 12 months,Prime Insight,,"HK$55,000 - HK$70,000 /month ",Posted on 29 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Information Technology
3743,Senior Systems Engineer (Cybersecurity / Firewall ),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Middle,Degree,3 years,"Full Time, Permanent",Information Technology
3744,Software Development Engineer ,Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Information Technology
3745,Solution Consultant / Engineer - Cybersecurity (Presales),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Information Technology
3746,Software Engineer,Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
3747,Service Engineer (Voice),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
3748,Solution Engineer - Application Security & Delivery Solutions (Presales),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Information Technology
3749,Cyber Security Engineer / Consultant,Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Information Technology
3750,Data Engineer,Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Information Technology
3751,Cloud Systems Engineer ,Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Middle,Degree,1 year,"Full Time, Permanent",Information Technology
3752,Deskside Engineer ,Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Non-Degree Tertiary,2 years,"Full Time, Permanent",Information Technology
3753,Senior Analyst Programmer / System Analyst ,RecruitFirst Limited,Central,Salary negotiable,Posted on 28 Mar 2021,Middle,Not Specified,4 years,Permanent,Information Technology
3754,Business Analyst (Insurance / Financial Services),RecruitFirst Limited,Central,Salary negotiable,Posted on 28 Mar 2021,Middle,Not Specified,3 years,Permanent,Information Technology
3755,Security Engineer ($30-32K),CL Technical Services Ltd.,Tseung Kwan O,Salary provided,Posted on 28 Mar 2021,Middle,Non-Degree Tertiary,Not Specified,Full Time,Information Technology
3756,Lead Designer,Company Confidential,Cheung Sha Wan,Salary provided,Posted on 28 Mar 2021,Middle,Non-Degree Tertiary,8 years,"Full Time, Permanent","Information Technology (IT) > IT Project Management / Team Lead, Marketing / Public Relations > Digital Marketing, Information Technology (IT) > UI/UX Designer"
3757,Software Engineer (Website Development), Midland Holdings Limited ,Cheung Sha Wan,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Non-Degree Tertiary,2 years,"Contract, Temporary",Property Management / Consultancy
3758,Analyst Programmer (Backend),Midland Holdings Limited,Cheung Sha Wan,Salary negotiable,Posted on 28 Mar 2021,Middle,Non-Degree Tertiary,2 years,"Full Time, Permanent",Property Management / Consultancy
3759,"Consulting – Financial Services, Cybersecurity – Manager",EY,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Senior,Degree,5 years,Full Time,"Information Technology (IT) > Application Specialist - Software, Information Technology (IT) > IT Project Management / Team Lead, Banking / Finance > Risk Management"
3760,"Webpage Support (IT field, HTML, $18K) ",CL Technical Services Ltd.,Admiralty,Salary provided,Posted on 28 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
3761,Associate Business Analyst (Software Development and Implementation),Million Tech Development Ltd,Lai Chi Kok,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Full Time, Permanent",Information Technology
3762,"COBOL Developer (Bank, up to $48K) ",CL Technical Services Ltd.,Quarry Bay,Salary provided,Posted on 28 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
3763,IT Helpdesk Engineer ($18-20K),CL Smart Sourcing Limited,Quarry Bay,Salary provided,Posted on 28 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
3764,"Analyst Programmer (Java, Web) Up to $44K",CL Technical Services Ltd.,Wan Chai,Salary provided,Posted on 28 Mar 2021,Not Specified,Not Specified,Not Specified,Full Time,Information Technology
3765,Mobile Technical Lead,Openrice Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Middle,Degree,5 years,"Full Time, Permanent",Information Technology
3766,Project Manager (IT Project),Openrice Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Middle,Degree,8 years,"Full Time, Permanent",Information Technology
3767,"Engineer (PI) / Engineering Associate (PI), Networking Software (4G/5G Networks)",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 28 Mar 2021,Not Specified,Degree,Not Specified,"Contract, Full Time",Information Technology
3768,"Senior Lead Engineer / Lead Engineer, Quality Control",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 28 Mar 2021,Not Specified,Postgraduate,Not Specified,"Contract, Full Time",Information Technology
3769,"Senior Lead Engineer / Lead Engineer, NLP",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 28 Mar 2021,Not Specified,Postgraduate,Not Specified,"Contract, Full Time",Information Technology
3770,"Senior Lead Engineer / Lead Engineer, Software Development (Big Data)",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 28 Mar 2021,Not Specified,Postgraduate,Not Specified,"Contract, Full Time",Information Technology
3771,"Senior Engineer / Engineer, NLP",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 28 Mar 2021,Not Specified,Postgraduate,Not Specified,"Contract, Full Time",Information Technology
3772,Business Intelligence / Data Analyst,IVC Solutions Limited,,Salary provided,Posted on 28 Mar 2021,Middle,Postgraduate,2 years,"Full Time, Permanent",Information Technology
3773,IT Network Engineer,Louis Vuitton Pacific Limited,Quarry Bay,Salary provided,Posted on 26 Mar 2021,Entry Level,Degree,5 years,"Full Time, Permanent",Wholesale / Retail
3774, IT Support Engineer (Finance & Insurance firm),PeopleLink Services Limited,,Salary provided,Posted on 26 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,"Contract, Full Time, Permanent",Information Technology
3775,Solution Engineer - Application Security & Delivery Solutions (Presales),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 28 Mar 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Information Technology
3776,"Programmer, IT System Development (Fresh graduate also welcome)",Shanghai Commercial Bank Ltd,Kwai Hing,Salary negotiable,Posted on 27 Mar 2021,Entry Level,Degree,N/A,"Full Time, Permanent",Banking
3777,IT Engineer - International School ,"Nord Anglia International School, Hong Kong Limited",Kwun Tong Area,Salary provided,Posted on 26 Mar 2021,Entry Level,Degree,3 years,"Full Time, Permanent",Education
3778,"Senior Lead Engineer / Lead Engineer, Quality Control",Hong Kong Applied Science and Technology Research Institute Company Limited (ASTRI),Shatin Area,Salary provided,Posted on 28 Mar 2021,Not Specified,Postgraduate,Not Specified,"Contract, Full Time",Information Technology
3779,INFORMATION TECHNOLOGY SUPPORT,Hip Shing Hong (Holdings) Company Limited,Central,Salary provided,Posted on 26 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Property Development
3780,Database Administrator - Financial Trading Group,Pinpoint Asia Limited,,"HK$45,000 - HK$55,000 /month (negotiable)",Posted on 29 Mar 2021,Senior,Degree,7 years,"Full Time, Permanent","Information Technology (IT) > DBA, Information Technology (IT) > Support, Information Technology (IT) > Network & System"
3781,"Assistant Vice President, System Infrastructure",Shanghai Commercial Bank Ltd,Kwai Hing,Salary provided,Posted on 27 Mar 2021,Middle,Degree,7 years,"Full Time, Permanent",Banking
3782,System Engineer / Assistant System Engineer (REF: ATECM/SE/ASE),ATAL Technologies Limited,Kwun Tong,Salary provided,Posted on 27 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Engineering - Electrical / Electronic / Mechanical
3783,"Senior Analyst, Operations and Service Management, Information Technology",FWD Life Insurance Company (Bermuda) Limited,Kwun Tong,Salary negotiable,Posted on 26 Mar 2021,Middle,Degree,8 years,Full Time,"Information Technology (IT), Information Technology (IT) > Hardware, Information Technology (IT) > Network & System"
3784,Mobile App Developer (iOS / Android),"Ashley, Brookes & Coleman Limited",Tsim Sha Tsui,Salary negotiable,Posted on 29 Mar 2021,Not Specified,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management / Consultancy
3785,Engineer (IT),Canon Engineering Hong Kong Co Ltd,Kwai Hing,Salary provided,Posted on 26 Mar 2021,Entry Level,School Certificate,N/A,"Full Time, Permanent",Trading and Distribution
3786,Business Analyst (5-day work),Hong Yip Service Company Limited,Kwun Tong Area,Salary provided,Posted on 27 Mar 2021,Middle,Degree,6 years,"Full Time, Permanent",Property Management / Consultancy
3787,Solution Architect / Senior System Analyst (.Net)  – New Project (up to 65k),Betterment Asia Limited,,Salary provided,Posted on 28 Mar 2021,Senior,Degree,8 years,"Contract, Full Time, Part Time, Permanent",Information Technology
3788,IT Technician,Convenience Retail Asia Limited,Shatin Area,Posted on 26 Mar 2021,Posted on 26 Mar 2021,Entry Level,Matriculated,N/A,Full Time,Wholesale / Retail
3789,Project Coordinator (IT Department),EH Group Limited,,Salary provided,Posted on 26 Mar 2021,Middle,Non-Degree Tertiary,3 years,"Full Time, Permanent",Trading and Distribution
3790,"Head of IT Service Desk ITIL with O365 Azure exp serving MNC needed ($700,000 - 900,000 per annum) ",Alexis Services Limited,Central & Western Area,Salary provided,Posted on 26 Mar 2021,Middle,Degree,9 years,Full Time,Financial Services
3791,System Engineer,Tech Advance Consultancy Limited,Central,Salary provided,Posted on 28 Mar 2021,Middle,Non-Degree Tertiary,3 years,"Contract, Full Time",Information Technology
3792,*** Blockchain Developer ,Don Nelson Recruitment Limited,,"HK$70,000 - HK$120,000 /month ",Posted on 29 Mar 2021,Middle,Degree,2 years,"Full Time, Permanent",Information Technology
3793,Intern (Fintech) – 6 months contract,"Bank of Communications Co., Ltd. Hong Kong Branch",,Posted on 26 Mar 2021,Posted on 26 Mar 2021,Entry Level,Not Specified,Not Specified,"Contract, Full Time","Information Technology (IT) > IT Project Management / Team Lead, Information Technology (IT) > Product Management / Business Analyst, Others > Student / Fresh Graduate / No Experience"
3794,Software Developer,EFT Solutions Limited,Kwai Fong,Salary provided,Posted on 29 Mar 2021,Entry Level,Non-Degree Tertiary,N/A,"Full Time, Permanent",Information Technology
3795,IT Consultant (Fresh graduate are welcome),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 27 Mar 2021,Middle,Degree,N/A,"Full Time, Permanent",Information Technology
3796,( Senior ) iOS Mobile Application Developer ( 20 - 35k ),Osmium Consulting Group Limited,Shatin Area,Salary provided,Posted on 29 Mar 2021,Entry Level,Degree,N/A,"Contract, Full Time, Permanent",Information Technology
3797,Junior Programmer / Developer (Welcome Fresh Graduate),BGC Group (HK) Limited,Admiralty,Salary provided,Posted on 27 Mar 2021,Entry Level,Not Specified,Not Specified,"Full Time, Permanent",Information Technology
3798,UXUI Designer Contract - $35-40K,Protiviti Hong Kong,Central & Western Area,Salary provided,Posted on 29 Mar 2021,Middle,Degree,N/A,"Contract, Full Time",Information Technology (IT) > Application Specialist - Software
3799,IT Security Consultant / Consultant Associate,Cyberforce Limited,Ngau Tau Kok,Salary provided,Posted on 26 Mar 2021,Not Specified,Not Specified,Not Specified,"Contract, Full Time, Permanent",Information Technology
3800,IT Manager/ Infrastructure Manager - Network and System,Captiare Limited,,Salary provided,Posted on 26 Mar 2021,Senior,Degree,10 years,"Full Time, Permanent",Information Technology
3801,IT Project Manager / Senior System Analyst (Data Analytics),Shanghai Commercial Bank Ltd,Kwai Hing,Salary provided,Posted on 27 Mar 2021,Senior,Degree,10 years,"Full Time, Permanent",Banking
3802,System Specialist / System Engineer (Windows) ,Bayou Talent,,Salary provided,Posted on 28 Mar 2021,Not Specified,Non-Degree Tertiary,3 years,"Full Time, Permanent",Information Technology
3803,IT Consultant (Fresh graduate are welcome),Macroview Telecom Limited,Quarry Bay,Salary negotiable,Posted on 27 Mar 2021,Middle,Degree,N/A,"Full Time, Permanent",Information Technology
3804,Major Bank: Data Warehouse ETL Specialist (AP/ SA)  [Core Banking System Revamp] ,IT Solutions Ltd.,,Salary negotiable,Posted on 27 Mar 2021,Middle,Not Specified,2 years,Full Time,Banking
3805,"Major Bank: Technical Business Analyst SAS / SQL (Risk Management, AML)",IT Solutions Ltd.,Shatin Area,Salary provided,Posted on 27 Mar 2021,Middle,Degree,2 years,Full Time,Banking
3806,UAT Tester / System Tester,RecruitFirst Limited,Kowloon Bay,Salary negotiable,Posted on 27 Mar 2021,Entry Level,Not Specified,Not Specified,Full Time,Information Technology
3807,Data Analytic Software Analyst/ Data Scientist ,Kingvisions Consultants Limited,,"HK$35,000 - HK$45,000 /month (negotiable)",Posted on 27 Mar 2021,Middle,Degree,Not Specified,"Contract, Full Time, Permanent",Others
3808,System analyst/ Analyst programmer - Many openings! (Java/ Node.js/ Angular/ Php),Kingvisions Consultants Limited,,Salary negotiable,Posted on 27 Mar 2021,Entry Level,Non-Degree Tertiary,1 year,"Contract, Full Time, Permanent",Others
3809,Network Engineer/Solution Consultant (Pre-sales),Kingvisions Consultants Limited,Kwun Tong Area,Salary negotiable,Posted on 27 Mar 2021,Entry Level,Degree,1 year,"Full Time, Permanent",Others
3810,IFRS17 Senior Business Analyst & Testing Analyst - Leading Insurance Group,Pinpoint Asia Limited,,"HK$30,000 - HK$45,000 /month (negotiable)",Posted on 27 Mar 2021,Senior,Degree,4 years,Full Time,"Information Technology (IT) > Product Management / Business Analyst, Information Technology (IT) > Testing / QA, Information Technology (IT) > Technical / Functional Consulting"
3811,Identity Access Management Technical Manager - Security Center,Pinpoint Asia Limited,,"HK$55,000 - HK$70,000 /month (negotiable)",Posted on 27 Mar 2021,Senior,Degree,8 years,"Full Time, Permanent",Information Technology
3812,Cyber Risk and Compliance Manager,Pinpoint Asia Limited,,"HK$55,000 - HK$70,000 /month (negotiable)",Posted on 27 Mar 2021,Senior,Degree,5 years,"Full Time, Permanent",Information Technology
3813,Cyber Security Defense Manager,Pinpoint Asia Limited,,"HK$55,000 - HK$70,000 /month (negotiable)",Posted on 27 Mar 2021,Senior,Degree,8 years,"Full Time, Permanent","Information Technology (IT) > IT Management, Information Technology (IT) > Security, Information Technology (IT) > Technical / Functional Consulting"
